
is_city = yes 

owner = A08
controller = A08
add_core = A08

base_tax = 1
base_production = 1
base_manpower = 2

culture = culture_lordaeron
religion = holy_light

trade_goods = army_supplies
hre = no 




618.1.1 = { 
add_core = BTR
owner = BTR 
controller = BTR
remove_core = A08
religion = shadow
}

# War of Lordaeron (TFT)
620.8.1 = {
controller = P52
add_core = P52
owner = P52
remove_core = BTR
religion = cult_of_the_damned
culture = culture_scourge
}

# Rise of the Qiraji
622.1.1 = { 
add_core = A22
remove_core = BTR
culture = culture_lordaeron
religion = scarlet_light
controller = A22
owner = A22 
}

